question	answer	class
saya tidak bisa krs, bagaimana solusinya	silakan menghubungi DAAK	akademik
bagaimana cara mendaftar yudisium?	Pendaftaran Yudisium dilayani setiap bulan tanggal 1 sampai 5 melalui portal DAAK	yudisium
bagiamana cara menghapus matakuliah bernilai jelek ?	Matakuliah bernilai jelek dapat dihapus saat melakukan proses Yudisium yang dikelola oleh DAAK	yudisium
bagaimana cara mendaftar skripsi?	pendaftaran judul skripsi dibuka setiap akhir bulan mulai tanggal 20 sampai 30 	skripsi
bagaimana cara ganti judul skripsi?	pembaruan judul skripsi dapat dilakukan dengan mendunguh form pada portal DAAK atas persetujuan dosen pembimbing	skripsi
bagiamana cara ganti dosen pembimbing?	pembaruan dosen pembimbing dapat dilakukan dengan mendunguh form pada portal DAAK dan diajukan ke Kaprodi atas seizin dosen pembimbing lama	skripsi
apakah nilai E bisa lulus?	Syarat lulus tidak boleh ada nilai E. Kamu bisa melihat simulasi nilai melalui web Informatika pada menu Layanan - Simulasi Nilai	akademik
saya mau mendaftar pendadaran tapi masih ada nilai E. Bagaimana solusinya?	Syarat pendadaran tidak boleh ada nilai E. Kecuali Anda dalam keadaan masa studi habis, tetap bisa pendadaran dengan mengajukan surat rekomendasi ke Kaprodi Informatika.	akademik
Bagaimana saya mendapatkan kontak nomor Whatsapp dosen?	Maaf, kami tidak merilis kontak pribadi. Anda bisa menghubungi melalui email. Daftar kontak email dosen Informatika dapat dilihat pada laman Profil - Dosen.	datadosen
Apakah masih bisa menghapus mata kuliah yang sudah terlanjur diambil wakti pengisian KRS?	Perubahan KRS hanya bisa dilakukan pada periode perubahan KRS. Simak informasi terkini dari DAAK.	akademik
Saya angkatan lama, ingin memperbaiki matakuliah wajib namun sudah tidak ada. Bagaimana solusinya?	Mungkin matakuliah tersebut sudah tidak ditawarkan. Silakan ambil matakuliah wajib lainnya yang bobot sksnya setara. Besok pada saat Yudisium Anda dapat menghapus salah satu. Konsultasikan dengan dosen Wali Anda.	akademik
Apakah bisa MBKM dikonversi ke Skripsi ?	Syarat kelulusan jalur non - reguler sudah dirilis. Simak panduannya pada web Informatika menu Akademik - Jalur Kelulusan dan tunggu informasi pembukaannya.	mbkm
Apakah remidi lintas semester bisa dilakukan?	Remidi hanya berlaku untuk matakuliah yang diambil pada semester tersebut. Jangan sampai mengikuti Remidi ya..	akademik
bagaimana cara mendapatkan tandatangan kaprodi?	Silakan mengajukan melalui menu Layanan - Approval Kaprodi	layanan
Bagaimana prosedur Magang?	Prosedur Magang dapat dibaca melalui web Informatika menu Akademik - Magang	magang
Apakah ada daftar NIK dosen?	Daftar kontak email beserta NIK dosen Informatika dapat dilihat pada laman Profil - Dosen.	datadosen
Siapa yang mengisi Form Konversi Matakuliah MBKM, mahasiswa atau dosen wali?	Mahasiswa mengisi sendiri. Dosen wali sebagai pendamping diskusi.	mbkm
Bila pengajuan konversi MBKM disetujui, apakah saya harus mengambil matkul tersebut saat KRSan?	Kamu wajib KRS-an seperti biasa, supaya nilaimu bisa keluar. Tetap membayar SPP variabel juga ya. Hanya saja kegiatanya diselenggarakan oleh pihak mitra.	mbkm
Apakah ada jaminan, saya mendapat nilai A pada matakuliah yang dikonversi MBKM ?	Tidak ada jaminan dong, nilai akan disesuaikan dari hasil / BKP kegiatan MBKM. Jangan lupa menyerahkan hasil kegiatan ke prodi, ya!	mbkm
Matakuliah yang disetujui konversinya MBKM, apakah nilai keluar secara otomatis?	Tidak, nilai akan dikeluarkan setelah Anda menyelesaikan BKP kegiatan MBKM.	mbkm
Boleh nggak, konversi MBKM ini saya digunakan untuk memperbaiki nilai matakuliah yang lalu?	Boleh banget, asalkan mata kuliah tersebut ditawarkan dan diambil pada semester berjalan. Jika bingung, konsultasikan dengan dosen wali.	mbkm
Apakah kegiatan MBKM yang saya ikuti, bisa dikonversi penuh dalam 20 sks?	Tidak. Tergantung buku akademik sesuai angkatanmu. Bisa saja kegiatan tersebut hanya bisa dikonversi menjadi 4 sks.	mbkm
Saya mengikuti MBKM Pertukaran Pelajar. Ternyata SKS yang ditawarkan mitra, tidak dapat ditampung sepenuhnya di prodi Informatika. Bagaimana solusinya?	Memang sangat disayangkan, sebaiknya jangan salah pilih kegiatan. Namun tidak perlu khawatir, sertifikat yang Anda dapatkan dari kegiatan tersebut dapat Anda gunakan sebagai surat pendamping ijazah saat menjelang kelulusan.	mbkm
Saya mengikuti MBKM program Kemanusiaan, apakah bisa dikonversi juga ke mata kuliah  kecerdasan buatan?	Bisa. Syaratnya, setelah kegiatan MBKM selesai Anda wajib membuat gagasan penerapan kecerdasan buatan untuk menyelesaikan masalah kemanusiaan. Gagasan tersebut ditulis dalam bentuk laporan dan dikirim bersamaan dengan pengajuan nilai	mbkm
Kelas saya bentrok atau tabrakan, bagaimana cara pindah kelas?	Mekanisme pindah kelas, dapat dilakukan saat periode perubahan KRS. Ingat, Anda tidak diperkenankan pindah hanya karena ikut-ikutan teman. Simak kabar terkini melalui Web informatika	layanan
